--答题题目配置
QuestionClass= 
{  
   --(qt表示问题，ra表示正确答案，wa表示错误答案)
qt0001="博士作为官名最早出现在哪个朝代？",ra0001="秦",wa0001="唐",
qt0282="中华人民共和国成立后，第一个与我国建立外交关系的西方国家是哪个国家？",ra0282="英国",wa0282="法国 ",
qt0283="不是德国古典哲学主要代表人物的是谁？",ra0283="尼采",wa0283="黑格尔",
qt0284="存款储蓄有多形式，其中能够最大限度地吸收社会闲散资金的有效形式是哪个？",ra0284="活期存款",wa0284="整存整取",
qt0285="下列著作中属于语录体散文集的是哪个？",ra0285="《论语》",wa0285="《战国策》",
qt0286="中国最早的工艺百科全书是完成于17世纪30年代的《天工开物》。它的作者是谁？",ra0286="宋应星",wa0286="郦道元",
qt0287="在我国少数民族中，人口最多的是哪个族？",ra0287="壮族",wa0287="回族　",
qt0288="我国古代田园派的创始者是谁？",ra0288="陶渊明",wa0288="王维",
qt0289="平均海拔最高的大洲是哪个洲？",ra0289="南极洲",wa0289="亚洲",
qt0290="被誉为“短篇小说之王”的作家是谁？",ra0290="莫泊桑",wa0290="欧亨利",
qt0291="下列作品属编年体历史著作的是哪部著作？",ra0291="《左传》",wa0291="《史记》",
qt0292="自然科学中最早出现的学科是以下哪个？",ra0292="天文学",wa0292="医学",
qt0293="当红、橙、黄、绿、蓝、靛、紫七种光同时聚焦在某一点时，会出现什么颜色？",ra0293="白色",wa0293="黑色",
qt0294="按照近代物理研究的成果，物质的最小构成单位是什么？",ra0294="夸克",wa0294="电子",
qt0295="人类历史上第一部成文宪法是哪一部？",ra0295="美国宪法",wa0295="法国宪法",
qt0296="我国清代伟大的现实主义作家是谁？",ra0296="曹雪芹",wa0296="蒲松龄",
qt0297="中国古代戏曲中的杰作《西厢记》的作者是谁？",ra0297="王实甫",wa0297="关汉卿",
qt0298="北宋词坛豪放派的代表作家是谁？",ra0298="苏轼",wa0298="王安石　",
qt0299="“采菊东篱下，悠然见南山”是陶渊明哪部作品中的名句？",ra0299="《饮酒》",wa0299="《归园田居》",
qt0300="儒家创始人孔子的中心学说是什么？",ra0300="“仁”的学说",wa0300="中庸之道",
qt0301="我国历史上最早的一部兵书是哪部？",ra0301="《孙子兵法》",wa0301="《孙膑兵法》",
qt0302="《边城》是哪位作家的代表作？",ra0302="沈从文",wa0302="钱钟书",
qt0303="下列作家属于”文学研究会”成员的是哪位？",ra0303="沈雁冰",wa0303="郭沫若",
qt0304="提出“只要给我一个支点，就能使地球移动”的名言的物理学家是哪一位？",ra0304="阿基米德",wa0304="伽俐略",
qt0305="1814年，制造了第一辆火车机车的英国人是谁？",ra0305="史蒂芬孙",wa0305="瓦特",
qt0306="发现行星运动定律的天文学家是哪位？",ra0306="开普勒",wa0306="伽俐略",
qt0307="在世界上第一次把圆周率精确到小数点后７位数的科学家是哪位？",ra0307="祖冲之",wa0307="华达哥拉斯",
qt0308="核电站利用核能进行发电，其所使用的核燃料是什么？",ra0308="铀",wa0308="镭　",
qt0309="提出科学的原子论的科学家是谁？",ra0309="道尔顿",wa0309="布鲁诺",
qt0310="世界上最早的天文学著作是哪一部著作？",ra0310="《甘石星经》",wa0310="《授时历》",
qt0311="我国南方的梅雨属于什么雨？",ra0311="锋面雨",wa0311="对流雨",
qt0312="世界上华侨和华人最集中的地区是哪里？",ra0312="东南亚",wa0312="北美",
qt0313="宣传”物竞天择，适者生存”的生物进化观点的是谁？",ra0313="严复",wa0313="蔡元培",
qt0314="我国第一个资产阶级革命团体是哪个团体？",ra0314="兴中会",wa0314="同盟会",
qt0315="下列哪个奖项不在诺贝尔奖之列？",ra0315="数学奖",wa0315="医学奖",
qt0316="1957年，第一个成功发射人造地球卫星的是哪个国家？",ra0316="苏联",wa0316="美国",
qt0317="你获得的第一只伙伴的名字是什么？",ra0317="小钻风",wa0317="撼天牛魔",
qt0318="伙伴的战斗力太渣，怎么办！",ra0318="提升伙伴境界",wa0318="鄙视它",
qt0319="每天可打多少次伙伴副本？",ra0319="2次",wa0319="3次",
qt0320="翅膀进阶需要消耗什么？",ra0320="声望",wa0320="荣誉",
qt0321="如何提高伙伴亲密度？",ra0321="伙伴食料",wa0321="一起逛街",
qt0322="坐骑每一阶最高为多少星？",ra0322="十星",wa0322="九星",
qt0323="打单人副本需要找哪个NPC？",ra0323="百剑尊者",wa0323="藏经阁老人",
qt0324="接护送任务需要找哪个NPC？",ra0324="茹芸",wa0324="彩麟",
qt0325="伙伴形象可以从哪里收集？",ra0325="营救小伙伴",wa0325="四灵血阵",
qt0326="每一种伙伴形象只能收集一次？",ra0326="错",wa0326="对",
qt0327="血战长空副本主要产出什么？",ra0327="经验",wa0327="灵气",
qt0328="逍遥宝库副本主要产出什么",ra0328="绑定金币",wa0328="人民币",
qt0329="以下哪个是四灵血阵的boss？",ra0329="白虎",wa0329="画魔",
qt0330="以下哪个是组队副本？",ra0330="四灵血阵",wa0330="血战长空",
qt0331="提升人物星图需要消耗什么？",ra0331="灵气",wa0331="声望",
qt0332="每天的日常任务共有多少环？",ra0332="20环",wa0332="10环",
qt0333="日常任务的双倍奖励需要消耗什么道具？",ra0333="双倍令",wa0333="日常令",
qt0334="每周的跑环任务共有多少环？",ra0334="200环",wa0334="100环",
qt0335="可以快速完成跑环任务的道具是什么？",ra0335="解环石",wa0335="跑环石",
qt0336="护送任务品质最高的美女为什么颜色？",ra0336="橙色",wa0336="红色",
qt0337="每天最多可完成多少次护送任务？",ra0337="3次",wa0337="4次",
qt0338="以下哪个活动可获得大量的灵气？",ra0338="浪漫沙滩",wa0338="欢乐护送",
qt0339="以下哪个活动为每日开启一次？",ra0339="浪漫沙滩",wa0339="才高八斗",
qt0340="宝石镶嵌中，每个人可镶嵌的宝石有几种？",ra0340="4种",wa0340="3种",
qt0341="主角的第一个小伙伴是什么出身？",ra0341="小偷",wa0341="大侠",
qt0342="仙尊每日签到可多获得什么？",ra0342="10绑定元宝",wa0342="15绑定元宝",
qt0343="游戏中快速拾取的快捷键是？",ra0343="S",wa0343="空格",
qt0344="诛魔殿二层boss刷新时间是多久？",ra0344="30分钟",wa0344="60分钟",
qt0345="帮派任务怎样才能获得最高奖励？",ra0345="找帮众提星",wa0345="祈求上苍",
qt0346="疯狂挂机第几层掉落宝箱？",ra0346="第三层",wa0346="第二层",
qt0347="境界令牌附带什么技能？",ra0347="雷霆击",wa0347="千年杀",
qt0348="封神坛到达第10层可以获得什么？",ra0348="封神礼包",wa0348="神王称号",
qt0349="活跃度最大值为多少？",ra0349="285",wa0349="275",
qt0350="疯狂挂机连斩有什么用？",ra0350="获得经验加成",wa0350="并没有什么用",
}
